"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.22,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.41,0
0,3.8333e-06,0.0001,293.21,0
2.5e-05,0,0.0001,293.29,0
2.5e-05,3.8333e-06,0.0001,293.69,0
3.75e-05,0,0.0001,293.36,0
3.75e-05,3.8333e-06,0.0001,294.01,0
5e-05,0,0.0001,293.46,0
5e-05,3.8333e-06,0.0001,294.39,0
6.25e-05,0,0.0001,293.57,0
6.25e-05,3.8333e-06,0.0001,294.85,0
7.5e-05,0,0.0001,293.72,0
7.5e-05,3.8333e-06,0.0001,295.41,0
8.75e-05,0,0.0001,293.89,0
8.75e-05,3.8333e-06,0.0001,296.1,0
0.0001,0,0.0001,294.1,0
0.0001,3.8333e-06,0.0001,296.94,0
0.0001125,0,0.0001,294.35,0
0.0001125,3.8333e-06,0.0001,297.95,0
0.000125,0,0.0001,294.66,0
0.000125,3.8333e-06,0.0001,299.16,0
0.0001375,0,0.0001,295.02,0
0.0001375,3.8333e-06,0.0001,300.6,0
0.00015,0,0.0001,295.44,0
0.00015,3.8333e-06,0.0001,302.28,0
0.0001625,0,0.0001,295.93,0
0.0001625,3.8333e-06,0.0001,304.23,0
0.000175,0,0.0001,296.49,0
0.000175,3.8333e-06,0.0001,306.47,0
0.0001875,0,0.0001,297.14,0
0.0001875,3.8333e-06,0.0001,309.03,0
0.0002,0,0.0001,297.87,0
0.0002,3.8333e-06,0.0001,311.91,0
0.0002125,0,0.0001,298.68,0
0.0002125,3.8333e-06,0.0001,315.15,0
0.000225,0,0.0001,299.6,0
0.000225,3.8333e-06,0.0001,318.75,0
0.0002375,0,0.0001,300.61,0
0.0002375,3.8333e-06,0.0001,322.75,0
0.00025,0,0.0001,301.74,0
0.00025,3.8333e-06,0.0001,327.17,0
0.0002625,0,0.0001,302.98,0
0.0002625,3.8333e-06,0.0001,332.04,0
0.000275,0,0.0001,304.35,0
0.000275,3.8333e-06,0.0001,337.4,0
0.0002875,0,0.0001,305.86,0
0.0002875,3.8333e-06,0.0001,343.29,0
0.0003,0,0.0001,307.52,0
0.0003,3.8333e-06,0.0001,349.75,0
0.0003125,0,0.0001,309.34,0
0.0003125,3.8333e-06,0.0001,356.84,0
0.000325,0,0.0001,311.35,0
0.000325,3.8333e-06,0.0001,364.6,0
0.0003375,0,0.0001,313.56,0
0.0003375,3.8333e-06,0.0001,373.1,0
0.00035,0,0.0001,315.97,0
0.00035,3.8333e-06,0.0001,382.36,0
0.0003625,0,0.0001,318.6,0
0.0003625,3.8333e-06,0.0001,392.4,0
0.000375,0,0.0001,321.44,0
0.000375,3.8333e-06,0.0001,403.2,0
0.0003875,0,0.0001,324.48,0
0.0003875,3.8333e-06,0.0001,414.67,0
0.0004,0,0.0001,327.67,0
0.0004,3.8333e-06,0.0001,426.64,0
0.0004125,0,0.0001,330.92,0
0.0004125,3.8333e-06,0.0001,438.73,0
0.000425,0,0.0001,334.08,0
0.000425,3.8333e-06,0.0001,450.29,0
0.0004375,0,0.0001,336.85,0
0.0004375,3.8333e-06,0.0001,460.24,0
0.00045,0,0.0001,338.81,0
0.00045,3.8333e-06,0.0001,467.03,0
0.0004625,0,0.0001,339.43,0
0.0004625,3.8333e-06,0.0001,468.77,0
0.000475,0,0.0001,338.19,0
0.000475,3.8333e-06,0.0001,463.73,0
0.0004875,0,0.0001,334.83,0
0.0004875,3.8333e-06,0.0001,450.97,0
0.0005,0,0.0001,329.49,0
0.0005,3.8333e-06,0.0001,431.04,0
0.0005125,0,0.0001,322.8,0
0.0005125,3.8333e-06,0.0001,406.13,0
0.000525,0,0.0001,315.7,0
0.000525,3.8333e-06,0.0001,379.57,0
0.0005375,0,0.0001,309.13,0
0.0005375,3.8333e-06,0.0001,354.8,0
0.00055,0,0.0001,303.73,0
0.00055,3.8333e-06,0.0001,334.27,0
0.0005625,0,0.0001,299.75,0
0.0005625,3.8333e-06,0.0001,318.95,0
0.000575,0,0.0001,297.05,0
0.000575,3.8333e-06,0.0001,308.51,0
0.0005875,0,0.0001,295.36,0
0.0005875,3.8333e-06,0.0001,301.91,0
0.0006,0,0.0001,294.37,0
0.0006,3.8333e-06,0.0001,297.99,0
0.0006125,0,0.0001,293.8,0
0.0006125,3.8333e-06,0.0001,295.76,0
0.000625,0,0.0001,293.5,0
0.000625,3.8333e-06,0.0001,294.53,0
0.0006375,0,0.0001,293.33,0
0.0006375,3.8333e-06,0.0001,293.88,0
0.00065,0,0.0001,293.24,0
0.00065,3.8333e-06,0.0001,293.53,0
0.0006625,0,0.0001,293.2,0
0.0006625,3.8333e-06,0.0001,293.34,0
0.000675,0,0.0001,293.17,0
0.000675,3.8333e-06,0.0001,293.25,0
0.0006875,0,0.0001,293.16,0
0.0006875,3.8333e-06,0.0001,293.2,0
0.0007,0,0.0001,293.16,0
0.0007,3.8333e-06,0.0001,293.18,0
0.0007125,0,0.0001,293.15,0
0.0007125,3.8333e-06,0.0001,293.16,0
0.000725,0,0.0001,293.15,0
0.000725,3.8333e-06,0.0001,293.16,0
0.0007375,0,0.0001,293.15,0
0.0007375,3.8333e-06,0.0001,293.15,0
0.00075,0,0.0001,293.15,0
0.00075,3.8333e-06,0.0001,293.15,0
0.0007625,0,0.0001,293.15,0
0.0007625,3.8333e-06,0.0001,293.15,0
0.000775,0,0.0001,293.15,0
0.000775,3.8333e-06,0.0001,293.15,0
0.0007875,0,0.0001,293.15,0
