"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.21,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.41,0
0,3.8333e-06,0.0001,293.21,0
2.5e-05,0,0.0001,293.28,0
2.5e-05,3.8333e-06,0.0001,293.68,0
3.75e-05,0,0.0001,293.36,0
3.75e-05,3.8333e-06,0.0001,293.99,0
5e-05,0,0.0001,293.45,0
5e-05,3.8333e-06,0.0001,294.34,0
6.25e-05,0,0.0001,293.55,0
6.25e-05,3.8333e-06,0.0001,294.76,0
7.5e-05,0,0.0001,293.68,0
7.5e-05,3.8333e-06,0.0001,295.25,0
8.75e-05,0,0.0001,293.82,0
8.75e-05,3.8333e-06,0.0001,295.85,0
0.0001,0,0.0001,294,0
0.0001,3.8333e-06,0.0001,296.55,0
0.0001125,0,0.0001,294.21,0
0.0001125,3.8333e-06,0.0001,297.39,0
0.000125,0,0.0001,294.46,0
0.000125,3.8333e-06,0.0001,298.37,0
0.0001375,0,0.0001,294.75,0
0.0001375,3.8333e-06,0.0001,299.52,0
0.00015,0,0.0001,295.08,0
0.00015,3.8333e-06,0.0001,300.85,0
0.0001625,0,0.0001,295.46,0
0.0001625,3.8333e-06,0.0001,302.38,0
0.000175,0,0.0001,295.9,0
0.000175,3.8333e-06,0.0001,304.12,0
0.0001875,0,0.0001,296.4,0
0.0001875,3.8333e-06,0.0001,306.09,0
0.0002,0,0.0001,296.96,0
0.0002,3.8333e-06,0.0001,308.3,0
0.0002125,0,0.0001,297.58,0
0.0002125,3.8333e-06,0.0001,310.77,0
0.000225,0,0.0001,298.27,0
0.000225,3.8333e-06,0.0001,313.52,0
0.0002375,0,0.0001,299.04,0
0.0002375,3.8333e-06,0.0001,316.56,0
0.00025,0,0.0001,299.89,0
0.00025,3.8333e-06,0.0001,319.92,0
0.0002625,0,0.0001,300.83,0
0.0002625,3.8333e-06,0.0001,323.62,0
0.000275,0,0.0001,301.87,0
0.000275,3.8333e-06,0.0001,327.68,0
0.0002875,0,0.0001,303.01,0
0.0002875,3.8333e-06,0.0001,332.16,0
0.0003,0,0.0001,304.26,0
0.0003,3.8333e-06,0.0001,337.07,0
0.0003125,0,0.0001,305.65,0
0.0003125,3.8333e-06,0.0001,342.48,0
0.000325,0,0.0001,307.18,0
0.000325,3.8333e-06,0.0001,348.43,0
0.0003375,0,0.0001,308.86,0
0.0003375,3.8333e-06,0.0001,354.97,0
0.00035,0,0.0001,310.72,0
0.00035,3.8333e-06,0.0001,362.16,0
0.0003625,0,0.0001,312.77,0
0.0003625,3.8333e-06,0.0001,370.06,0
0.000375,0,0.0001,315.02,0
0.000375,3.8333e-06,0.0001,378.71,0
0.0003875,0,0.0001,317.49,0
0.0003875,3.8333e-06,0.0001,388.15,0
0.0004,0,0.0001,320.17,0
0.0004,3.8333e-06,0.0001,398.38,0
0.0004125,0,0.0001,323.07,0
0.0004125,3.8333e-06,0.0001,409.36,0
0.000425,0,0.0001,326.15,0
0.000425,3.8333e-06,0.0001,420.95,0
0.0004375,0,0.0001,329.35,0
0.0004375,3.8333e-06,0.0001,432.91,0
0.00045,0,0.0001,332.56,0
0.00045,3.8333e-06,0.0001,444.77,0
0.0004625,0,0.0001,335.56,0
0.0004625,3.8333e-06,0.0001,455.68,0
0.000475,0,0.0001,338.01,0
0.000475,3.8333e-06,0.0001,464.36,0
0.0004875,0,0.0001,339.43,0
0.0004875,3.8333e-06,0.0001,469.09,0
0.0005,0,0.0001,339.27,0
0.0005,3.8333e-06,0.0001,467.95,0
0.0005125,0,0.0001,337.09,0
0.0005125,3.8333e-06,0.0001,459.49,0
0.000525,0,0.0001,332.79,0
0.000525,3.8333e-06,0.0001,443.34,0
0.0005375,0,0.0001,326.74,0
0.0005375,3.8333e-06,0.0001,420.81,0
0.00055,0,0.0001,319.73,0
0.00055,3.8333e-06,0.0001,394.67,0
0.0005625,0,0.0001,312.75,0
0.0005625,3.8333e-06,0.0001,368.47,0
0.000575,0,0.0001,306.63,0
0.000575,3.8333e-06,0.0001,345.3,0
0.0005875,0,0.0001,301.83,0
0.0005875,3.8333e-06,0.0001,327,0
0.0006,0,0.0001,298.44,0
0.0006,3.8333e-06,0.0001,313.89,0
0.0006125,0,0.0001,296.22,0
0.0006125,3.8333e-06,0.0001,305.26,0
0.000625,0,0.0001,294.87,0
0.000625,3.8333e-06,0.0001,299.96,0
0.0006375,0,0.0001,294.08,0
0.0006375,3.8333e-06,0.0001,296.87,0
0.00065,0,0.0001,293.65,0
0.00065,3.8333e-06,0.0001,295.15,0
0.0006625,0,0.0001,293.41,0
0.0006625,3.8333e-06,0.0001,294.2,0
0.000675,0,0.0001,293.29,0
0.000675,3.8333e-06,0.0001,293.7,0
0.0006875,0,0.0001,293.22,0
0.0006875,3.8333e-06,0.0001,293.44,0
0.0007,0,0.0001,293.19,0
0.0007,3.8333e-06,0.0001,293.3,0
0.0007125,0,0.0001,293.17,0
0.0007125,3.8333e-06,0.0001,293.23,0
0.000725,0,0.0001,293.16,0
0.000725,3.8333e-06,0.0001,293.19,0
0.0007375,0,0.0001,293.15,0
0.0007375,3.8333e-06,0.0001,293.17,0
0.00075,0,0.0001,293.15,0
0.00075,3.8333e-06,0.0001,293.16,0
0.0007625,0,0.0001,293.15,0
0.0007625,3.8333e-06,0.0001,293.16,0
0.000775,0,0.0001,293.15,0
0.000775,3.8333e-06,0.0001,293.15,0
0.0007875,0,0.0001,293.15,0
0.0007875,3.8333e-06,0.0001,293.15,0
0.0008,0,0.0001,293.15,0
0.0008,3.8333e-06,0.0001,293.15,0
0.0008125,0,0.0001,293.15,0
0.0008125,3.8333e-06,0.0001,293.15,0
0.000825,0,0.0001,293.15,0
0.000825,3.8333e-06,0.0001,293.15,0
0.0008375,0,0.0001,293.15,0
0.0008375,3.8333e-06,0.0001,293.15,0
