"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.2,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.35,0
0,3.8333e-06,0.0001,293.2,0
2.5e-05,0,0.0001,293.26,0
2.5e-05,3.8333e-06,0.0001,293.58,0
3.75e-05,0,0.0001,293.33,0
3.75e-05,3.8333e-06,0.0001,293.85,0
5e-05,0,0.0001,293.42,0
5e-05,3.8333e-06,0.0001,294.22,0
6.25e-05,0,0.0001,293.54,0
6.25e-05,3.8333e-06,0.0001,294.69,0
7.5e-05,0,0.0001,293.69,0
7.5e-05,3.8333e-06,0.0001,295.33,0
8.75e-05,0,0.0001,293.9,0
8.75e-05,3.8333e-06,0.0001,296.16,0
0.0001,0,0.0001,294.17,0
0.0001,3.8333e-06,0.0001,297.23,0
0.0001125,0,0.0001,294.52,0
0.0001125,3.8333e-06,0.0001,298.6,0
0.000125,0,0.0001,294.95,0
0.000125,3.8333e-06,0.0001,300.33,0
0.0001375,0,0.0001,295.48,0
0.0001375,3.8333e-06,0.0001,302.46,0
0.00015,0,0.0001,296.14,0
0.00015,3.8333e-06,0.0001,305.05,0
0.0001625,0,0.0001,296.92,0
0.0001625,3.8333e-06,0.0001,308.16,0
0.000175,0,0.0001,297.84,0
0.000175,3.8333e-06,0.0001,311.82,0
0.0001875,0,0.0001,298.92,0
0.0001875,3.8333e-06,0.0001,316.08,0
0.0002,0,0.0001,300.16,0
0.0002,3.8333e-06,0.0001,320.97,0
0.0002125,0,0.0001,301.57,0
0.0002125,3.8333e-06,0.0001,326.53,0
0.000225,0,0.0001,303.16,0
0.000225,3.8333e-06,0.0001,332.77,0
0.0002375,0,0.0001,304.94,0
0.0002375,3.8333e-06,0.0001,339.72,0
0.00025,0,0.0001,306.92,0
0.00025,3.8333e-06,0.0001,347.42,0
0.0002625,0,0.0001,309.09,0
0.0002625,3.8333e-06,0.0001,355.87,0
0.000275,0,0.0001,311.48,0
0.000275,3.8333e-06,0.0001,365.1,0
0.0002875,0,0.0001,314.08,0
0.0002875,3.8333e-06,0.0001,375.12,0
0.0003,0,0.0001,316.9,0
0.0003,3.8333e-06,0.0001,385.93,0
0.0003125,0,0.0001,319.94,0
0.0003125,3.8333e-06,0.0001,397.49,0
0.000325,0,0.0001,323.16,0
0.000325,3.8333e-06,0.0001,409.69,0
0.0003375,0,0.0001,326.52,0
0.0003375,3.8333e-06,0.0001,422.32,0
0.00035,0,0.0001,329.92,0
0.00035,3.8333e-06,0.0001,434.99,0
0.0003625,0,0.0001,333.2,0
0.0003625,3.8333e-06,0.0001,446.99,0
0.000375,0,0.0001,336.04,0
0.000375,3.8333e-06,0.0001,457.19,0
0.0003875,0,0.0001,338,0
0.0003875,3.8333e-06,0.0001,463.97,0
0.0004,0,0.0001,338.54,0
0.0004,3.8333e-06,0.0001,465.45,0
0.0004125,0,0.0001,337.18,0
0.0004125,3.8333e-06,0.0001,459.92,0
0.000425,0,0.0001,333.67,0
0.000425,3.8333e-06,0.0001,446.63,0
0.0004375,0,0.0001,328.22,0
0.0004375,3.8333e-06,0.0001,426.31,0
0.00045,0,0.0001,321.53,0
0.00045,3.8333e-06,0.0001,401.35,0
0.0004625,0,0.0001,314.53,0
0.0004625,3.8333e-06,0.0001,375.15,0
0.000475,0,0.0001,308.15,0
0.000475,3.8333e-06,0.0001,351.07,0
0.0004875,0,0.0001,302.99,0
0.0004875,3.8333e-06,0.0001,331.4,0
0.0005,0,0.0001,299.22,0
0.0005,3.8333e-06,0.0001,316.91,0
0.0005125,0,0.0001,296.71,0
0.0005125,3.8333e-06,0.0001,307.15,0
0.000525,0,0.0001,295.15,0
0.000525,3.8333e-06,0.0001,301.06,0
0.0005375,0,0.0001,294.24,0
