"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.21,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.41,0
0,3.8333e-06,0.0001,293.21,0
2.5e-05,0,0.0001,293.28,0
2.5e-05,3.8333e-06,0.0001,293.67,0
3.75e-05,0,0.0001,293.36,0
3.75e-05,3.8333e-06,0.0001,293.97,0
5e-05,0,0.0001,293.44,0
5e-05,3.8333e-06,0.0001,294.31,0
6.25e-05,0,0.0001,293.54,0
6.25e-05,3.8333e-06,0.0001,294.71,0
7.5e-05,0,0.0001,293.66,0
7.5e-05,3.8333e-06,0.0001,295.18,0
8.75e-05,0,0.0001,293.8,0
8.75e-05,3.8333e-06,0.0001,295.73,0
0.0001,0,0.0001,293.96,0
0.0001,3.8333e-06,0.0001,296.39,0
0.0001125,0,0.0001,294.16,0
0.0001125,3.8333e-06,0.0001,297.17,0
0.000125,0,0.0001,294.38,0
0.000125,3.8333e-06,0.0001,298.08,0
0.0001375,0,0.0001,294.65,0
0.0001375,3.8333e-06,0.0001,299.13,0
0.00015,0,0.0001,294.95,0
0.00015,3.8333e-06,0.0001,300.35,0
0.0001625,0,0.0001,295.3,0
0.0001625,3.8333e-06,0.0001,301.74,0
0.000175,0,0.0001,295.7,0
0.000175,3.8333e-06,0.0001,303.32,0
0.0001875,0,0.0001,296.15,0
0.0001875,3.8333e-06,0.0001,305.11,0
0.0002,0,0.0001,296.66,0
0.0002,3.8333e-06,0.0001,307.11,0
0.0002125,0,0.0001,297.22,0
0.0002125,3.8333e-06,0.0001,309.35,0
0.000225,0,0.0001,297.85,0
0.000225,3.8333e-06,0.0001,311.83,0
0.0002375,0,0.0001,298.54,0
0.0002375,3.8333e-06,0.0001,314.58,0
0.00025,0,0.0001,299.31,0
0.00025,3.8333e-06,0.0001,317.61,0
0.0002625,0,0.0001,300.15,0
0.0002625,3.8333e-06,0.0001,320.95,0
0.000275,0,0.0001,301.09,0
0.000275,3.8333e-06,0.0001,324.62,0
0.0002875,0,0.0001,302.11,0
0.0002875,3.8333e-06,0.0001,328.65,0
0.0003,0,0.0001,303.25,0
0.0003,3.8333e-06,0.0001,333.09,0
0.0003125,0,0.0001,304.49,0
0.0003125,3.8333e-06,0.0001,337.97,0
0.000325,0,0.0001,305.87,0
0.000325,3.8333e-06,0.0001,343.34,0
0.0003375,0,0.0001,307.39,0
0.0003375,3.8333e-06,0.0001,349.26,0
0.00035,0,0.0001,309.07,0
0.00035,3.8333e-06,0.0001,355.77,0
0.0003625,0,0.0001,310.92,0
0.0003625,3.8333e-06,0.0001,362.94,0
0.000375,0,0.0001,312.97,0
0.000375,3.8333e-06,0.0001,370.82,0
0.0003875,0,0.0001,315.22,0
0.0003875,3.8333e-06,0.0001,379.46,0
0.0004,0,0.0001,317.68,0
0.0004,3.8333e-06,0.0001,388.89,0
0.0004125,0,0.0001,320.37,0
0.0004125,3.8333e-06,0.0001,399.12,0
0.000425,0,0.0001,323.26,0
0.000425,3.8333e-06,0.0001,410.08,0
0.0004375,0,0.0001,326.34,0
0.0004375,3.8333e-06,0.0001,421.67,0
0.00045,0,0.0001,329.54,0
0.00045,3.8333e-06,0.0001,433.61,0
0.0004625,0,0.0001,332.73,0
0.0004625,3.8333e-06,0.0001,445.42,0
0.000475,0,0.0001,335.72,0
0.000475,3.8333e-06,0.0001,456.25,0
0.0004875,0,0.0001,338.13,0
0.0004875,3.8333e-06,0.0001,464.79,0
0.0005,0,0.0001,339.49,0
0.0005,3.8333e-06,0.0001,469.29,0
0.0005125,0,0.0001,339.25,0
0.0005125,3.8333e-06,0.0001,467.87,0
0.000525,0,0.0001,336.98,0
0.000525,3.8333e-06,0.0001,459.08,0
0.0005375,0,0.0001,332.6,0
0.0005375,3.8333e-06,0.0001,442.63,0
0.00055,0,0.0001,326.49,0
0.00055,3.8333e-06,0.0001,419.87,0
0.0005625,0,0.0001,319.46,0
0.0005625,3.8333e-06,0.0001,393.66,0
0.000575,0,0.0001,312.49,0
0.000575,3.8333e-06,0.0001,367.51,0
0.0005875,0,0.0001,306.42,0
0.0005875,3.8333e-06,0.0001,344.5,0
0.0006,0,0.0001,301.68,0
0.0006,3.8333e-06,0.0001,326.4,0
0.0006125,0,0.0001,298.33,0
0.0006125,3.8333e-06,0.0001,313.48,0
0.000625,0,0.0001,296.15,0
0.000625,3.8333e-06,0.0001,305,0
0.0006375,0,0.0001,294.83,0
0.0006375,3.8333e-06,0.0001,299.81,0
0.00065,0,0.0001,294.06,0
0.00065,3.8333e-06,0.0001,296.79,0
0.0006625,0,0.0001,293.64,0
0.0006625,3.8333e-06,0.0001,295.1,0
0.000675,0,0.0001,293.41,0
0.000675,3.8333e-06,0.0001,294.18,0
0.0006875,0,0.0001,293.29,0
0.0006875,3.8333e-06,0.0001,293.69,0
0.0007,0,0.0001,293.22,0
0.0007,3.8333e-06,0.0001,293.43,0
0.0007125,0,0.0001,293.19,0
0.0007125,3.8333e-06,0.0001,293.3,0
0.000725,0,0.0001,293.17,0
0.000725,3.8333e-06,0.0001,293.22,0
0.0007375,0,0.0001,293.16,0
0.0007375,3.8333e-06,0.0001,293.19,0
0.00075,0,0.0001,293.15,0
0.00075,3.8333e-06,0.0001,293.17,0
0.0007625,0,0.0001,293.15,0
0.0007625,3.8333e-06,0.0001,293.16,0
0.000775,0,0.0001,293.15,0
0.000775,3.8333e-06,0.0001,293.16,0
0.0007875,0,0.0001,293.15,0
0.0007875,3.8333e-06,0.0001,293.15,0
0.0008,0,0.0001,293.15,0
0.0008,3.8333e-06,0.0001,293.15,0
0.0008125,0,0.0001,293.15,0
0.0008125,3.8333e-06,0.0001,293.15,0
0.000825,0,0.0001,293.15,0
0.000825,3.8333e-06,0.0001,293.15,0
0.0008375,0,0.0001,293.15,0
0.0008375,3.8333e-06,0.0001,293.15,0
