"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.21,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.39,0
0,3.8333e-06,0.0001,293.21,0
2.5e-05,0,0.0001,293.27,0
2.5e-05,3.8333e-06,0.0001,293.65,0
3.75e-05,0,0.0001,293.35,0
3.75e-05,3.8333e-06,0.0001,293.95,0
5e-05,0,0.0001,293.45,0
5e-05,3.8333e-06,0.0001,294.34,0
6.25e-05,0,0.0001,293.57,0
6.25e-05,3.8333e-06,0.0001,294.82,0
7.5e-05,0,0.0001,293.72,0
7.5e-05,3.8333e-06,0.0001,295.44,0
8.75e-05,0,0.0001,293.92,0
8.75e-05,3.8333e-06,0.0001,296.23,0
0.0001,0,0.0001,294.17,0
0.0001,3.8333e-06,0.0001,297.23,0
0.0001125,0,0.0001,294.48,0
0.0001125,3.8333e-06,0.0001,298.46,0
0.000125,0,0.0001,294.86,0
0.000125,3.8333e-06,0.0001,299.98,0
0.0001375,0,0.0001,295.32,0
0.0001375,3.8333e-06,0.0001,301.81,0
0.00015,0,0.0001,295.87,0
0.00015,3.8333e-06,0.0001,304.01,0
0.0001625,0,0.0001,296.53,0
0.0001625,3.8333e-06,0.0001,306.6,0
0.000175,0,0.0001,297.29,0
0.000175,3.8333e-06,0.0001,309.61,0
0.0001875,0,0.0001,298.16,0
0.0001875,3.8333e-06,0.0001,313.08,0
0.0002,0,0.0001,299.16,0
0.0002,3.8333e-06,0.0001,317.03,0
0.0002125,0,0.0001,300.29,0
0.0002125,3.8333e-06,0.0001,321.49,0
0.000225,0,0.0001,301.56,0
0.000225,3.8333e-06,0.0001,326.49,0
0.0002375,0,0.0001,302.98,0
0.0002375,3.8333e-06,0.0001,332.05,0
0.00025,0,0.0001,304.55,0
0.00025,3.8333e-06,0.0001,338.19,0
0.0002625,0,0.0001,306.29,0
0.0002625,3.8333e-06,0.0001,344.96,0
0.000275,0,0.0001,308.2,0
0.000275,3.8333e-06,0.0001,352.39,0
0.0002875,0,0.0001,310.3,0
0.0002875,3.8333e-06,0.0001,360.52,0
0.0003,0,0.0001,312.59,0
0.0003,3.8333e-06,0.0001,369.39,0
0.0003125,0,0.0001,315.1,0
0.0003125,3.8333e-06,0.0001,379.01,0
0.000325,0,0.0001,317.82,0
0.000325,3.8333e-06,0.0001,389.42,0
0.0003375,0,0.0001,320.75,0
0.0003375,3.8333e-06,0.0001,400.56,0
0.00035,0,0.0001,323.86,0
0.00035,3.8333e-06,0.0001,412.36,0
0.0003625,0,0.0001,327.13,0
0.0003625,3.8333e-06,0.0001,424.63,0
0.000375,0,0.0001,330.45,0
0.000375,3.8333e-06,0.0001,436.98,0
0.0003875,0,0.0001,333.67,0
0.0003875,3.8333e-06,0.0001,448.76,0
0.0004,0,0.0001,336.48,0
0.0004,3.8333e-06,0.0001,458.85,0
0.0004125,0,0.0001,338.45,0
0.0004125,3.8333e-06,0.0001,465.69,0
0.000425,0,0.0001,339.06,0
0.000425,3.8333e-06,0.0001,467.39,0
0.0004375,0,0.0001,337.79,0
0.0004375,3.8333e-06,0.0001,462.23,0
0.00045,0,0.0001,334.39,0
0.00045,3.8333e-06,0.0001,449.32,0
0.0004625,0,0.0001,329.02,0
0.0004625,3.8333e-06,0.0001,429.29,0
0.000475,0,0.0001,322.34,0
0.000475,3.8333e-06,0.0001,404.38,0
0.0004875,0,0.0001,315.28,0
0.0004875,3.8333e-06,0.0001,377.97,0
0.0005,0,0.0001,308.78,0
0.0005,3.8333e-06,0.0001,353.45,0
0.0005125,0,0.0001,303.46,0
0.0005125,3.8333e-06,0.0001,333.23,0
0.000525,0,0.0001,299.55,0
0.000525,3.8333e-06,0.0001,318.2,0
0.0005375,0,0.0001,296.92,0
0.0005375,3.8333e-06,0.0001,308.01,0
0.00055,0,0.0001,295.28,0
0.00055,3.8333e-06,0.0001,301.59,0
0.0005625,0,0.0001,294.32,0
0.0005625,3.8333e-06,0.0001,297.79,0
0.000575,0,0.0001,293.77,0
0.000575,3.8333e-06,0.0001,295.64,0
0.0005875,0,0.0001,293.48,0
0.0005875,3.8333e-06,0.0001,294.47,0
0.0006,0,0.0001,293.32,0
0.0006,3.8333e-06,0.0001,293.84,0
0.0006125,0,0.0001,293.24,0
0.0006125,3.8333e-06,0.0001,293.5,0
0.000625,0,0.0001,293.2,0
0.000625,3.8333e-06,0.0001,293.33,0
0.0006375,0,0.0001,293.17,0
0.0006375,3.8333e-06,0.0001,293.24,0
0.00065,0,0.0001,293.16,0
0.00065,3.8333e-06,0.0001,293.2,0
0.0006625,0,0.0001,293.16,0
0.0006625,3.8333e-06,0.0001,293.17,0
0.000675,0,0.0001,293.15,0
0.000675,3.8333e-06,0.0001,293.16,0
0.0006875,0,0.0001,293.15,0
0.0006875,3.8333e-06,0.0001,293.16,0
0.0007,0,0.0001,293.15,0
0.0007,3.8333e-06,0.0001,293.15,0
0.0007125,0,0.0001,293.15,0
0.0007125,3.8333e-06,0.0001,293.15,0
0.000725,0,0.0001,293.15,0
0.000725,3.8333e-06,0.0001,293.15,0
0.0007375,0,0.0001,293.15,0
0.0007375,3.8333e-06,0.0001,293.15,0
0.00075,0,0.0001,293.15,0
0.00075,3.8333e-06,0.0001,293.15,0
0.0007625,0,0.0001,293.15,0
0.0007625,3.8333e-06,0.0001,293.15,0
0.000775,0,0.0001,293.15,0
0.000775,3.8333e-06,0.0001,293.15,0
0.0007875,0,0.0001,293.15,0
0.0007875,3.8333e-06,0.0001,293.15,0
0.0008,0,0.0001,293.15,0
0.0008,3.8333e-06,0.0001,293.15,0
0.0008125,0,0.0001,293.15,0
0.0008125,3.8333e-06,0.0001,293.15,0
0.000825,0,0.0001,293.15,0
0.000825,3.8333e-06,0.0001,293.15,0
0.0008375,0,0.0001,293.15,0
0.0008375,3.8333e-06,0.0001,293.15,0
