"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.2,0
0,0,0.0001,293.16,0
1.25e-05,3.8333e-06,0.0001,293.33,0
0,3.8333e-06,0.0001,293.19,0
2.5e-05,0,0.0001,293.25,0
2.5e-05,3.8333e-06,0.0001,293.54,0
3.75e-05,0,0.0001,293.31,0
3.75e-05,3.8333e-06,0.0001,293.8,0
5e-05,0,0.0001,293.4,0
5e-05,3.8333e-06,0.0001,294.15,0
6.25e-05,0,0.0001,293.52,0
6.25e-05,3.8333e-06,0.0001,294.61,0
7.5e-05,0,0.0001,293.67,0
7.5e-05,3.8333e-06,0.0001,295.24,0
8.75e-05,0,0.0001,293.88,0
8.75e-05,3.8333e-06,0.0001,296.08,0
0.0001,0,0.0001,294.16,0
0.0001,3.8333e-06,0.0001,297.17,0
0.0001125,0,0.0001,294.51,0
0.0001125,3.8333e-06,0.0001,298.59,0
0.000125,0,0.0001,294.96,0
0.000125,3.8333e-06,0.0001,300.39,0
0.0001375,0,0.0001,295.53,0
0.0001375,3.8333e-06,0.0001,302.63,0
0.00015,0,0.0001,296.22,0
0.00015,3.8333e-06,0.0001,305.38,0
0.0001625,0,0.0001,297.05,0
0.0001625,3.8333e-06,0.0001,308.69,0
0.000175,0,0.0001,298.05,0
0.000175,3.8333e-06,0.0001,312.63,0
0.0001875,0,0.0001,299.21,0
0.0001875,3.8333e-06,0.0001,317.23,0
0.0002,0,0.0001,300.56,0
0.0002,3.8333e-06,0.0001,322.53,0
0.0002125,0,0.0001,302.09,0
0.0002125,3.8333e-06,0.0001,328.57,0
0.000225,0,0.0001,303.83,0
0.000225,3.8333e-06,0.0001,335.37,0
0.0002375,0,0.0001,305.77,0
0.0002375,3.8333e-06,0.0001,342.94,0
0.00025,0,0.0001,307.92,0
0.00025,3.8333e-06,0.0001,351.32,0
0.0002625,0,0.0001,310.29,0
0.0002625,3.8333e-06,0.0001,360.5,0
0.000275,0,0.0001,312.88,0
0.000275,3.8333e-06,0.0001,370.51,0
0.0002875,0,0.0001,315.7,0
0.0002875,3.8333e-06,0.0001,381.32,0
0.0003,0,0.0001,318.73,0
0.0003,3.8333e-06,0.0001,392.9,0
0.0003125,0,0.0001,321.96,0
0.0003125,3.8333e-06,0.0001,405.15,0
0.000325,0,0.0001,325.34,0
0.000325,3.8333e-06,0.0001,417.9,0
0.0003375,0,0.0001,328.79,0
0.0003375,3.8333e-06,0.0001,430.78,0
0.00035,0,0.0001,332.15,0
0.00035,3.8333e-06,0.0001,443.16,0
0.0003625,0,0.0001,335.15,0
0.0003625,3.8333e-06,0.0001,454,0
0.000375,0,0.0001,337.38,0
0.000375,3.8333e-06,0.0001,461.78,0
0.0003875,0,0.0001,338.29,0
0.0003875,3.8333e-06,0.0001,464.61,0
0.0004,0,0.0001,337.37,0
0.0004,3.8333e-06,0.0001,460.73,0
0.0004125,0,0.0001,334.33,0
0.0004125,3.8333e-06,0.0001,449.11,0
0.000425,0,0.0001,329.26,0
0.000425,3.8333e-06,0.0001,430.18,0
0.0004375,0,0.0001,322.78,0
0.0004375,3.8333e-06,0.0001,406,0
0.00045,0,0.0001,315.79,0
0.00045,3.8333e-06,0.0001,379.87,0
0.0004625,0,0.0001,309.25,0
0.0004625,3.8333e-06,0.0001,355.24,0
0.000475,0,0.0001,303.84,0
0.000475,3.8333e-06,0.0001,334.66,0
0.0004875,0,0.0001,299.82,0
0.0004875,3.8333e-06,0.0001,319.21,0
0.0005,0,0.0001,297.09,0
0.0005,3.8333e-06,0.0001,308.64,0
0.0005125,0,0.0001,295.38,0
0.0005125,3.8333e-06,0.0001,301.95,0
0.000525,0,0.0001,294.37,0
0.000525,3.8333e-06,0.0001,297.98,0
0.0005375,0,0.0001,293.8,0
0.0005375,3.8333e-06,0.0001,295.73,0
0.00055,0,0.0001,293.49,0
0.00055,3.8333e-06,0.0001,294.5,0
0.0005625,0,0.0001,293.32,0
0.0005625,3.8333e-06,0.0001,293.85,0
0.000575,0,0.0001,293.24,0
0.000575,3.8333e-06,0.0001,293.51,0
0.0005875,0,0.0001,293.19,0
0.0005875,3.8333e-06,0.0001,293.33,0
0.0006,0,0.0001,293.17,0
0.0006,3.8333e-06,0.0001,293.24,0
0.0006125,0,0.0001,293.16,0
0.0006125,3.8333e-06,0.0001,293.19,0
0.000625,0,0.0001,293.16,0
0.000625,3.8333e-06,0.0001,293.17,0
0.0006375,0,0.0001,293.15,0
0.0006375,3.8333e-06,0.0001,293.16,0
0.00065,0,0.0001,293.15,0
0.00065,3.8333e-06,0.0001,293.16,0
0.0006625,0,0.0001,293.15,0
0.0006625,3.8333e-06,0.0001,293.15,0
0.000675,0,0.0001,293.15,0
0.000675,3.8333e-06,0.0001,293.15,0
0.0006875,0,0.0001,293.15,0
0.0006875,3.8333e-06,0.0001,293.15,0
0.0007,0,0.0001,293.15,0
0.0007,3.8333e-06,0.0001,293.15,0
0.0007125,0,0.0001,293.15,0
0.0007125,3.8333e-06,0.0001,293.15,0
0.000725,0,0.0001,293.15,0
0.000725,3.8333e-06,0.0001,293.15,0
0.0007375,0,0.0001,293.15,0
0.0007375,3.8333e-06,0.0001,293.15,0
0.00075,0,0.0001,293.15,0
0.00075,3.8333e-06,0.0001,293.15,0
0.0007625,0,0.0001,293.15,0
0.0007625,3.8333e-06,0.0001,293.15,0
0.000775,0,0.0001,293.15,0
0.000775,3.8333e-06,0.0001,293.15,0
0.0007875,0,0.0001,293.15,0
0.0007875,3.8333e-06,0.0001,293.15,0
0.0008,0,0.0001,293.15,0
0.0008,3.8333e-06,0.0001,293.15,0
0.0008125,0,0.0001,293.15,0
0.0008125,3.8333e-06,0.0001,293.15,0
0.000825,0,0.0001,293.15,0
0.000825,3.8333e-06,0.0001,293.15,0
0.0008375,0,0.0001,293.15,0
0.0008375,3.8333e-06,0.0001,293.15,0
0.00085,0,0.0001,293.15,0
0.00085,3.8333e-06,0.0001,293.15,0
0.0008625,0,0.0001,293.15,0
0.0008625,3.8333e-06,0.0001,293.15,0
0.000875,0,0.0001,293.15,0
0.000875,3.8333e-06,0.0001,293.15,0
0.0008875,0,0.0001,293.15,0
0.0008875,3.8333e-06,0.0001,293.15,0
0.0009,0,0.0001,293.15,0
0.0009,3.8333e-06,0.0001,293.15,0
0.0009125,0,0.0001,293.15,0
0.0009125,3.8333e-06,0.0001,293.15,0
0.000925,0,0.0001,293.15,0
0.000925,3.8333e-06,0.0001,293.15,0
0.0009375,0,0.0001,293.15,0
0.0009375,3.8333e-06,0.0001,293.15,0
0.00095,0,0.0001,293.15,0
0.00095,3.8333e-06,0.0001,293.15,0
0.0009625,0,0.0001,293.15,0
0.0009625,3.8333e-06,0.0001,293.15,0
0.000975,0,0.0001,293.15,0
0.000975,3.8333e-06,0.0001,293.15,0
0.0009875,0,0.0001,293.15,0
0.0009875,3.8333e-06,0.0001,293.15,0
0.001,0,0.0001,293.15,0
0.001,3.8333e-06,0.0001,293.15,0
1.25e-05,7.6667e-06,0.0001,293.51,0
0,7.6667e-06,0.0001,293.24,0
2.5e-05,7.6667e-06,0.0001,293.93,0
3.75e-05,7.6667e-06,0.0001,294.45,0
5e-05,7.6667e-06,0.0001,295.14,0
6.25e-05,7.6667e-06,0.0001,296.07,0
7.5e-05,7.6667e-06,0.0001,297.33,0
8.75e-05,7.6667e-06,0.0001,298.99,0
0.0001,7.6667e-06,0.0001,301.18,0
0.0001125,7.6667e-06,0.0001,304,0
0.000125,7.6667e-06,0.0001,307.57,0
0.0001375,7.6667e-06,0.0001,312.03,0
0.00015,7.6667e-06,0.0001,317.48,0
0.0001625,7.6667e-06,0.0001,324.05,0
0.000175,7.6667e-06,0.0001,331.83,0
0.0001875,7.6667e-06,0.0001,340.9,0
