"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.22,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.41,0
0,3.8333e-06,0.0001,293.21,0
2.5e-05,0,0.0001,293.28,0
2.5e-05,3.8333e-06,0.0001,293.69,0
3.75e-05,0,0.0001,293.36,0
3.75e-05,3.8333e-06,0.0001,293.99,0
5e-05,0,0.0001,293.45,0
5e-05,3.8333e-06,0.0001,294.35,0
6.25e-05,0,0.0001,293.55,0
6.25e-05,3.8333e-06,0.0001,294.77,0
7.5e-05,0,0.0001,293.68,0
7.5e-05,3.8333e-06,0.0001,295.27,0
8.75e-05,0,0.0001,293.83,0
8.75e-05,3.8333e-06,0.0001,295.86,0
0.0001,0,0.0001,294.01,0
0.0001,3.8333e-06,0.0001,296.58,0
0.0001125,0,0.0001,294.22,0
0.0001125,3.8333e-06,0.0001,297.42,0
0.000125,0,0.0001,294.47,0
0.000125,3.8333e-06,0.0001,298.42,0
0.0001375,0,0.0001,294.76,0
0.0001375,3.8333e-06,0.0001,299.59,0
0.00015,0,0.0001,295.1,0
0.00015,3.8333e-06,0.0001,300.94,0
0.0001625,0,0.0001,295.49,0
0.0001625,3.8333e-06,0.0001,302.49,0
0.000175,0,0.0001,295.94,0
0.000175,3.8333e-06,0.0001,304.26,0
0.0001875,0,0.0001,296.44,0
0.0001875,3.8333e-06,0.0001,306.26,0
0.0002,0,0.0001,297.01,0
0.0002,3.8333e-06,0.0001,308.51,0
0.0002125,0,0.0001,297.64,0
0.0002125,3.8333e-06,0.0001,311.02,0
0.000225,0,0.0001,298.35,0
0.000225,3.8333e-06,0.0001,313.82,0
0.0002375,0,0.0001,299.13,0
0.0002375,3.8333e-06,0.0001,316.91,0
0.00025,0,0.0001,300,0
0.00025,3.8333e-06,0.0001,320.32,0
0.0002625,0,0.0001,300.95,0
0.0002625,3.8333e-06,0.0001,324.09,0
0.000275,0,0.0001,302,0
0.000275,3.8333e-06,0.0001,328.22,0
0.0002875,0,0.0001,303.17,0
0.0002875,3.8333e-06,0.0001,332.77,0
0.0003,0,0.0001,304.44,0
0.0003,3.8333e-06,0.0001,337.77,0
0.0003125,0,0.0001,305.85,0
0.0003125,3.8333e-06,0.0001,343.27,0
0.000325,0,0.0001,307.41,0
0.000325,3.8333e-06,0.0001,349.32,0
0.0003375,0,0.0001,309.12,0
0.0003375,3.8333e-06,0.0001,355.97,0
0.00035,0,0.0001,311.01,0
0.00035,3.8333e-06,0.0001,363.28,0
0.0003625,0,0.0001,313.1,0
0.0003625,3.8333e-06,0.0001,371.31,0
0.000375,0,0.0001,315.38,0
0.000375,3.8333e-06,0.0001,380.1,0
0.0003875,0,0.0001,317.89,0
0.0003875,3.8333e-06,0.0001,389.67,0
0.0004,0,0.0001,320.61,0
0.0004,3.8333e-06,0.0001,400.03,0
0.0004125,0,0.0001,323.54,0
0.0004125,3.8333e-06,0.0001,411.12,0
0.000425,0,0.0001,326.64,0
0.000425,3.8333e-06,0.0001,422.8,0
0.0004375,0,0.0001,329.85,0
0.0004375,3.8333e-06,0.0001,434.79,0
0.00045,0,0.0001,333.05,0
0.00045,3.8333e-06,0.0001,446.57,0
0.0004625,0,0.0001,335.99,0
0.0004625,3.8333e-06,0.0001,457.23,0
0.000475,0,0.0001,338.32,0
0.000475,3.8333e-06,0.0001,465.41,0
0.0004875,0,0.0001,339.52,0
0.0004875,3.8333e-06,0.0001,469.32,0
0.0005,0,0.0001,339.06,0
0.0005,3.8333e-06,0.0001,467.1,0
0.0005125,0,0.0001,336.54,0
0.0005125,3.8333e-06,0.0001,457.39,0
0.000525,0,0.0001,331.92,0
0.000525,3.8333e-06,0.0001,440.1,0
0.0005375,0,0.0001,325.66,0
0.0005375,3.8333e-06,0.0001,416.77,0
0.00055,0,0.0001,318.58,0
0.00055,3.8333e-06,0.0001,390.38,0
0.0005625,0,0.0001,311.69,0
0.0005625,3.8333e-06,0.0001,364.48,0
0.000575,0,0.0001,305.76,0
0.000575,3.8333e-06,0.0001,342.02,0
0.0005875,0,0.0001,301.2,0
0.0005875,3.8333e-06,0.0001,324.55,0
0.0006,0,0.0001,298.01,0
0.0006,3.8333e-06,0.0001,312.23,0
0.0006125,0,0.0001,295.95,0
0.0006125,3.8333e-06,0.0001,304.21,0
0.000625,0,0.0001,294.71,0
0.000625,3.8333e-06,0.0001,299.34,0
0.0006375,0,0.0001,294,0
0.0006375,3.8333e-06,0.0001,296.52,0
0.00065,0,0.0001,293.6,0
0.00065,3.8333e-06,0.0001,294.95,0
0.0006625,0,0.0001,293.39,0
0.0006625,3.8333e-06,0.0001,294.1,0
0.000675,0,0.0001,293.27,0
0.000675,3.8333e-06,0.0001,293.65,0
0.0006875,0,0.0001,293.21,0
0.0006875,3.8333e-06,0.0001,293.41,0
0.0007,0,0.0001,293.18,0
0.0007,3.8333e-06,0.0001,293.28,0
0.0007125,0,0.0001,293.17,0
0.0007125,3.8333e-06,0.0001,293.22,0
0.000725,0,0.0001,293.16,0
0.000725,3.8333e-06,0.0001,293.18,0
0.0007375,0,0.0001,293.15,0
0.0007375,3.8333e-06,0.0001,293.17,0
0.00075,0,0.0001,293.15,0
0.00075,3.8333e-06,0.0001,293.16,0
0.0007625,0,0.0001,293.15,0
0.0007625,3.8333e-06,0.0001,293.15,0
0.000775,0,0.0001,293.15,0
0.000775,3.8333e-06,0.0001,293.15,0
0.0007875,0,0.0001,293.15,0
0.0007875,3.8333e-06,0.0001,293.15,0
