"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.2,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.36,0
0,3.8333e-06,0.0001,293.2,0
2.5e-05,0,0.0001,293.26,0
2.5e-05,3.8333e-06,0.0001,293.59,0
3.75e-05,0,0.0001,293.32,0
3.75e-05,3.8333e-06,0.0001,293.83,0
5e-05,0,0.0001,293.38,0
5e-05,3.8333e-06,0.0001,294.09,0
6.25e-05,0,0.0001,293.46,0
6.25e-05,3.8333e-06,0.0001,294.39,0
7.5e-05,0,0.0001,293.54,0
7.5e-05,3.8333e-06,0.0001,294.72,0
8.75e-05,0,0.0001,293.64,0
8.75e-05,3.8333e-06,0.0001,295.11,0
0.0001,0,0.0001,293.75,0
0.0001,3.8333e-06,0.0001,295.56,0
0.0001125,0,0.0001,293.88,0
0.0001125,3.8333e-06,0.0001,296.07,0
0.000125,0,0.0001,294.03,0
0.000125,3.8333e-06,0.0001,296.66,0
0.0001375,0,0.0001,294.2,0
0.0001375,3.8333e-06,0.0001,297.33,0
0.00015,0,0.0001,294.39,0
0.00015,3.8333e-06,0.0001,298.1,0
0.0001625,0,0.0001,294.61,0
0.0001625,3.8333e-06,0.0001,298.96,0
0.000175,0,0.0001,294.85,0
0.000175,3.8333e-06,0.0001,299.93,0
0.0001875,0,0.0001,295.12,0
0.0001875,3.8333e-06,0.0001,301.01,0
0.0002,0,0.0001,295.42,0
0.0002,3.8333e-06,0.0001,302.22,0
0.0002125,0,0.0001,295.76,0
0.0002125,3.8333e-06,0.0001,303.56,0
0.000225,0,0.0001,296.13,0
0.000225,3.8333e-06,0.0001,305.04,0
0.0002375,0,0.0001,296.55,0
0.0002375,3.8333e-06,0.0001,306.68,0
0.00025,0,0.0001,297,0
0.00025,3.8333e-06,0.0001,308.48,0
0.0002625,0,0.0001,297.5,0
0.0002625,3.8333e-06,0.0001,310.47,0
0.000275,0,0.0001,298.05,0
0.000275,3.8333e-06,0.0001,312.65,0
0.0002875,0,0.0001,298.66,0
0.0002875,3.8333e-06,0.0001,315.04,0
0.0003,0,0.0001,299.32,0
0.0003,3.8333e-06,0.0001,317.67,0
0.0003125,0,0.0001,300.06,0
0.0003125,3.8333e-06,0.0001,320.56,0
0.000325,0,0.0001,300.87,0
0.000325,3.8333e-06,0.0001,323.74,0
0.0003375,0,0.0001,301.76,0
0.0003375,3.8333e-06,0.0001,327.25,0
0.00035,0,0.0001,302.74,0
0.00035,3.8333e-06,0.0001,331.11,0
0.0003625,0,0.0001,303.83,0
0.0003625,3.8333e-06,0.0001,335.38,0
0.000375,0,0.0001,305.04,0
0.000375,3.8333e-06,0.0001,340.09,0
0.0003875,0,0.0001,306.37,0
0.0003875,3.8333e-06,0.0001,345.3,0
0.0004,0,0.0001,307.86,0
0.0004,3.8333e-06,0.0001,351.06,0
0.0004125,0,0.0001,309.5,0
0.0004125,3.8333e-06,0.0001,357.44,0
0.000425,0,0.0001,311.32,0
0.000425,3.8333e-06,0.0001,364.49,0
0.0004375,0,0.0001,313.34,0
0.0004375,3.8333e-06,0.0001,372.26,0
0.00045,0,0.0001,315.57,0
0.00045,3.8333e-06,0.0001,380.81,0
0.0004625,0,0.0001,318.02,0
0.0004625,3.8333e-06,0.0001,390.16,0
0.000475,0,0.0001,320.68,0
0.000475,3.8333e-06,0.0001,400.32,0
0.0004875,0,0.0001,323.56,0
0.0004875,3.8333e-06,0.0001,411.22,0
0.0005,0,0.0001,326.63,0
0.0005,3.8333e-06,0.0001,422.75,0
0.0005125,0,0.0001,329.81,0
0.0005125,3.8333e-06,0.0001,434.62,0
0.000525,0,0.0001,332.99,0
0.000525,3.8333e-06,0.0001,446.34,0
0.0005375,0,0.0001,335.94,0
