"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.21,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.38,0
0,3.8333e-06,0.0001,293.21,0
2.5e-05,0,0.0001,293.27,0
2.5e-05,3.8333e-06,0.0001,293.62,0
3.75e-05,0,0.0001,293.33,0
3.75e-05,3.8333e-06,0.0001,293.88,0
5e-05,0,0.0001,293.41,0
5e-05,3.8333e-06,0.0001,294.18,0
6.25e-05,0,0.0001,293.49,0
6.25e-05,3.8333e-06,0.0001,294.51,0
7.5e-05,0,0.0001,293.59,0
7.5e-05,3.8333e-06,0.0001,294.89,0
8.75e-05,0,0.0001,293.7,0
8.75e-05,3.8333e-06,0.0001,295.33,0
0.0001,0,0.0001,293.83,0
0.0001,3.8333e-06,0.0001,295.85,0
0.0001125,0,0.0001,293.98,0
0.0001125,3.8333e-06,0.0001,296.45,0
0.000125,0,0.0001,294.15,0
0.000125,3.8333e-06,0.0001,297.13,0
0.0001375,0,0.0001,294.35,0
0.0001375,3.8333e-06,0.0001,297.92,0
0.00015,0,0.0001,294.57,0
0.00015,3.8333e-06,0.0001,298.82,0
0.0001625,0,0.0001,294.83,0
0.0001625,3.8333e-06,0.0001,299.85,0
0.000175,0,0.0001,295.12,0
0.000175,3.8333e-06,0.0001,301,0
0.0001875,0,0.0001,295.44,0
0.0001875,3.8333e-06,0.0001,302.29,0
0.0002,0,0.0001,295.81,0
0.0002,3.8333e-06,0.0001,303.74,0
0.0002125,0,0.0001,296.21,0
0.0002125,3.8333e-06,0.0001,305.34,0
0.000225,0,0.0001,296.66,0
0.000225,3.8333e-06,0.0001,307.12,0
0.0002375,0,0.0001,297.15,0
0.0002375,3.8333e-06,0.0001,309.08,0
0.00025,0,0.0001,297.7,0
0.00025,3.8333e-06,0.0001,311.25,0
0.0002625,0,0.0001,298.3,0
0.0002625,3.8333e-06,0.0001,313.63,0
0.000275,0,0.0001,298.96,0
0.000275,3.8333e-06,0.0001,316.25,0
0.0002875,0,0.0001,299.69,0
0.0002875,3.8333e-06,0.0001,319.12,0
0.0003,0,0.0001,300.49,0
0.0003,3.8333e-06,0.0001,322.29,0
0.0003125,0,0.0001,301.38,0
0.0003125,3.8333e-06,0.0001,325.76,0
0.000325,0,0.0001,302.35,0
0.000325,3.8333e-06,0.0001,329.59,0
0.0003375,0,0.0001,303.43,0
0.0003375,3.8333e-06,0.0001,333.81,0
0.00035,0,0.0001,304.62,0
0.00035,3.8333e-06,0.0001,338.46,0
0.0003625,0,0.0001,305.93,0
0.0003625,3.8333e-06,0.0001,343.59,0
0.000375,0,0.0001,307.39,0
0.000375,3.8333e-06,0.0001,349.26,0
0.0003875,0,0.0001,309.01,0
0.0003875,3.8333e-06,0.0001,355.53,0
0.0004,0,0.0001,310.8,0
0.0004,3.8333e-06,0.0001,362.44,0
0.0004125,0,0.0001,312.77,0
0.0004125,3.8333e-06,0.0001,370.07,0
0.000425,0,0.0001,314.96,0
0.000425,3.8333e-06,0.0001,378.46,0
0.0004375,0,0.0001,317.36,0
0.0004375,3.8333e-06,0.0001,387.65,0
0.00045,0,0.0001,319.98,0
0.00045,3.8333e-06,0.0001,397.63,0
0.0004625,0,0.0001,322.81,0
0.0004625,3.8333e-06,0.0001,408.39,0
0.000475,0,0.0001,325.84,0
0.000475,3.8333e-06,0.0001,419.8,0
0.0004875,0,0.0001,329.01,0
0.0004875,3.8333e-06,0.0001,431.64,0
0.0005,0,0.0001,332.21,0
0.0005,3.8333e-06,0.0001,443.48,0
0.0005125,0,0.0001,335.24,0
0.0005125,3.8333e-06,0.0001,454.55,0
0.000525,0,0.0001,337.8,0
0.000525,3.8333e-06,0.0001,463.63,0
0.0005375,0,0.0001,339.4,0
0.0005375,3.8333e-06,0.0001,469.06,0
0.00055,0,0.0001,339.51,0
0.00055,3.8333e-06,0.0001,468.93,0
0.0005625,0,0.0001,337.66,0
0.0005625,3.8333e-06,0.0001,461.65,0
0.000575,0,0.0001,333.68,0
0.000575,3.8333e-06,0.0001,446.65,0
0.0005875,0,0.0001,327.85,0
0.0005875,3.8333e-06,0.0001,424.94,0
0.0006,0,0.0001,320.92,0
0.0006,3.8333e-06,0.0001,399.12,0
0.0006125,0,0.0001,313.86,0
0.0006125,3.8333e-06,0.0001,372.66,0
0.000625,0,0.0001,307.55,0
0.000625,3.8333e-06,0.0001,348.82,0
0.0006375,0,0.0001,302.53,0
0.0006375,3.8333e-06,0.0001,329.65,0
0.00065,0,0.0001,298.91,0
0.00065,3.8333e-06,0.0001,315.71,0
0.0006625,0,0.0001,296.52,0
0.0006625,3.8333e-06,0.0001,306.43,0
0.000675,0,0.0001,295.04,0
0.000675,3.8333e-06,0.0001,300.66,0
0.0006875,0,0.0001,294.19,0
0.0006875,3.8333e-06,0.0001,297.28,0
0.0007,0,0.0001,293.71,0
0.0007,3.8333e-06,0.0001,295.37,0
0.0007125,0,0.0001,293.44,0
0.0007125,3.8333e-06,0.0001,294.33,0
0.000725,0,0.0001,293.3,0
0.000725,3.8333e-06,0.0001,293.77,0
0.0007375,0,0.0001,293.23,0
0.0007375,3.8333e-06,0.0001,293.47,0
0.00075,0,0.0001,293.19,0
0.00075,3.8333e-06,0.0001,293.32,0
0.0007625,0,0.0001,293.17,0
0.0007625,3.8333e-06,0.0001,293.24,0
0.000775,0,0.0001,293.16,0
0.000775,3.8333e-06,0.0001,293.19,0
0.0007875,0,0.0001,293.16,0
0.0007875,3.8333e-06,0.0001,293.17,0
0.0008,0,0.0001,293.15,0
0.0008,3.8333e-06,0.0001,293.16,0
0.0008125,0,0.0001,293.15,0
0.0008125,3.8333e-06,0.0001,293.16,0
0.000825,0,0.0001,293.15,0
0.000825,3.8333e-06,0.0001,293.15,0
0.0008375,0,0.0001,293.15,0
0.0008375,3.8333e-06,0.0001,293.15,0
