"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.2,0
0,0,0.0001,293.17,0
1.25e-05,3.8333e-06,0.0001,293.37,0
0,3.8333e-06,0.0001,293.2,0
2.5e-05,0,0.0001,293.26,0
2.5e-05,3.8333e-06,0.0001,293.6,0
3.75e-05,0,0.0001,293.32,0
3.75e-05,3.8333e-06,0.0001,293.84,0
5e-05,0,0.0001,293.39,0
5e-05,3.8333e-06,0.0001,294.11,0
6.25e-05,0,0.0001,293.47,0
6.25e-05,3.8333e-06,0.0001,294.42,0
7.5e-05,0,0.0001,293.56,0
7.5e-05,3.8333e-06,0.0001,294.77,0
8.75e-05,0,0.0001,293.66,0
8.75e-05,3.8333e-06,0.0001,295.17,0
0.0001,0,0.0001,293.77,0
0.0001,3.8333e-06,0.0001,295.64,0
0.0001125,0,0.0001,293.91,0
0.0001125,3.8333e-06,0.0001,296.17,0
0.000125,0,0.0001,294.06,0
0.000125,3.8333e-06,0.0001,296.79,0
0.0001375,0,0.0001,294.24,0
0.0001375,3.8333e-06,0.0001,297.49,0
0.00015,0,0.0001,294.44,0
0.00015,3.8333e-06,0.0001,298.29,0
0.0001625,0,0.0001,294.66,0
0.0001625,3.8333e-06,0.0001,299.19,0
0.000175,0,0.0001,294.92,0
0.000175,3.8333e-06,0.0001,300.21,0
0.0001875,0,0.0001,295.2,0
0.0001875,3.8333e-06,0.0001,301.34,0
0.0002,0,0.0001,295.52,0
0.0002,3.8333e-06,0.0001,302.61,0
0.0002125,0,0.0001,295.88,0
0.0002125,3.8333e-06,0.0001,304.02,0
0.000225,0,0.0001,296.27,0
0.000225,3.8333e-06,0.0001,305.58,0
0.0002375,0,0.0001,296.7,0
0.0002375,3.8333e-06,0.0001,307.3,0
0.00025,0,0.0001,297.18,0
0.00025,3.8333e-06,0.0001,309.19,0
0.0002625,0,0.0001,297.71,0
0.0002625,3.8333e-06,0.0001,311.28,0
0.000275,0,0.0001,298.29,0
0.000275,3.8333e-06,0.0001,313.57,0
0.0002875,0,0.0001,298.92,0
0.0002875,3.8333e-06,0.0001,316.08,0
0.0003,0,0.0001,299.62,0
0.0003,3.8333e-06,0.0001,318.85,0
0.0003125,0,0.0001,300.39,0
0.0003125,3.8333e-06,0.0001,321.89,0
0.000325,0,0.0001,301.24,0
0.000325,3.8333e-06,0.0001,325.23,0
0.0003375,0,0.0001,302.18,0
0.0003375,3.8333e-06,0.0001,328.92,0
0.00035,0,0.0001,303.22,0
0.00035,3.8333e-06,0.0001,332.98,0
0.0003625,0,0.0001,304.37,0
0.0003625,3.8333e-06,0.0001,337.47,0
0.000375,0,0.0001,305.64,0
0.000375,3.8333e-06,0.0001,342.43,0
0.0003875,0,0.0001,307.04,0
0.0003875,3.8333e-06,0.0001,347.91,0
0.0004,0,0.0001,308.6,0
0.0004,3.8333e-06,0.0001,353.97,0
0.0004125,0,0.0001,310.34,0
0.0004125,3.8333e-06,0.0001,360.67,0
0.000425,0,0.0001,312.25,0
0.000425,3.8333e-06,0.0001,368.07,0
0.0004375,0,0.0001,314.37,0
0.0004375,3.8333e-06,0.0001,376.21,0
0.00045,0,0.0001,316.7,0
0.00045,3.8333e-06,0.0001,385.15,0
0.0004625,0,0.0001,319.26,0
0.0004625,3.8333e-06,0.0001,394.9,0
0.000475,0,0.0001,322.03,0
0.000475,3.8333e-06,0.0001,405.43,0
0.0004875,0,0.0001,325,0
0.0004875,3.8333e-06,0.0001,416.66,0
0.0005,0,0.0001,328.14,0
0.0005,3.8333e-06,0.0001,428.4,0
0.0005125,0,0.0001,331.34,0
0.0005125,3.8333e-06,0.0001,440.29,0
0.000525,0,0.0001,334.44,0
0.000525,3.8333e-06,0.0001,451.66,0
0.0005375,0,0.0001,337.17,0
