"Points:0","Points:1","Points:2","T","p"
6.25e-06,0,0.0001,293.16,0
0,0,0.0001,293.15,0
6.25e-06,1.9167e-06,0.0001,293.18,0
0,1.9167e-06,0.0001,293.16,0
1.25e-05,0,0.0001,293.17,0
1.25e-05,1.9167e-06,0.0001,293.21,0
1.875e-05,0,0.0001,293.17,0
1.875e-05,1.9167e-06,0.0001,293.24,0
2.5e-05,0,0.0001,293.18,0
2.5e-05,1.9167e-06,0.0001,293.27,0
3.125e-05,0,0.0001,293.19,0
3.125e-05,1.9167e-06,0.0001,293.31,0
3.75e-05,0,0.0001,293.2,0
3.75e-05,1.9167e-06,0.0001,293.34,0
4.375e-05,0,0.0001,293.21,0
4.375e-05,1.9167e-06,0.0001,293.38,0
5e-05,0,0.0001,293.22,0
5e-05,1.9167e-06,0.0001,293.42,0
5.625e-05,0,0.0001,293.23,0
5.625e-05,1.9167e-06,0.0001,293.46,0
6.25e-05,0,0.0001,293.24,0
6.25e-05,1.9167e-06,0.0001,293.5,0
6.875e-05,0,0.0001,293.25,0
6.875e-05,1.9167e-06,0.0001,293.54,0
7.5e-05,0,0.0001,293.26,0
7.5e-05,1.9167e-06,0.0001,293.59,0
8.125e-05,0,0.0001,293.27,0
8.125e-05,1.9167e-06,0.0001,293.64,0
8.75e-05,0,0.0001,293.29,0
8.75e-05,1.9167e-06,0.0001,293.69,0
9.375e-05,0,0.0001,293.3,0
9.375e-05,1.9167e-06,0.0001,293.75,0
0.0001,0,0.0001,293.32,0
0.0001,1.9167e-06,0.0001,293.81,0
0.00010625,0,0.0001,293.33,0
0.00010625,1.9167e-06,0.0001,293.88,0
0.0001125,0,0.0001,293.35,0
0.0001125,1.9167e-06,0.0001,293.94,0
0.00011875,0,0.0001,293.37,0
0.00011875,1.9167e-06,0.0001,294.02,0
0.000125,0,0.0001,293.39,0
0.000125,1.9167e-06,0.0001,294.1,0
0.00013125,0,0.0001,293.41,0
0.00013125,1.9167e-06,0.0001,294.18,0
0.0001375,0,0.0001,293.43,0
0.0001375,1.9167e-06,0.0001,294.27,0
0.00014375,0,0.0001,293.45,0
0.00014375,1.9167e-06,0.0001,294.36,0
0.00015,0,0.0001,293.48,0
0.00015,1.9167e-06,0.0001,294.46,0
0.00015625,0,0.0001,293.51,0
0.00015625,1.9167e-06,0.0001,294.57,0
0.0001625,0,0.0001,293.53,0
0.0001625,1.9167e-06,0.0001,294.68,0
0.00016875,0,0.0001,293.56,0
0.00016875,1.9167e-06,0.0001,294.8,0
0.000175,0,0.0001,293.6,0
0.000175,1.9167e-06,0.0001,294.93,0
0.00018125,0,0.0001,293.63,0
0.00018125,1.9167e-06,0.0001,295.06,0
0.0001875,0,0.0001,293.66,0
0.0001875,1.9167e-06,0.0001,295.2,0
0.00019375,0,0.0001,293.7,0
0.00019375,1.9167e-06,0.0001,295.35,0
0.0002,0,0.0001,293.74,0
0.0002,1.9167e-06,0.0001,295.51,0
0.00020625,0,0.0001,293.78,0
0.00020625,1.9167e-06,0.0001,295.67,0
0.0002125,0,0.0001,293.83,0
0.0002125,1.9167e-06,0.0001,295.85,0
0.00021875,0,0.0001,293.87,0
0.00021875,1.9167e-06,0.0001,296.03,0
0.000225,0,0.0001,293.92,0
0.000225,1.9167e-06,0.0001,296.22,0
0.00023125,0,0.0001,293.97,0
0.00023125,1.9167e-06,0.0001,296.42,0
0.0002375,0,0.0001,294.02,0
0.0002375,1.9167e-06,0.0001,296.64,0
0.00024375,0,0.0001,294.08,0
0.00024375,1.9167e-06,0.0001,296.86,0
0.00025,0,0.0001,294.14,0
0.00025,1.9167e-06,0.0001,297.09,0
0.00025625,0,0.0001,294.2,0
0.00025625,1.9167e-06,0.0001,297.34,0
0.0002625,0,0.0001,294.26,0
0.0002625,1.9167e-06,0.0001,297.59,0
0.00026875,0,0.0001,294.33,0
0.00026875,1.9167e-06,0.0001,297.86,0
0.000275,0,0.0001,294.4,0
0.000275,1.9167e-06,0.0001,298.14,0
0.00028125,0,0.0001,294.47,0
0.00028125,1.9167e-06,0.0001,298.43,0
0.0002875,0,0.0001,294.55,0
0.0002875,1.9167e-06,0.0001,298.74,0
0.00029375,0,0.0001,294.63,0
0.00029375,1.9167e-06,0.0001,299.07,0
0.0003,0,0.0001,294.72,0
0.0003,1.9167e-06,0.0001,299.4,0
0.00030625,0,0.0001,294.81,0
0.00030625,1.9167e-06,0.0001,299.76,0
0.0003125,0,0.0001,294.9,0
0.0003125,1.9167e-06,0.0001,300.13,0
0.00031875,0,0.0001,295,0
0.00031875,1.9167e-06,0.0001,300.51,0
0.000325,0,0.0001,295.1,0
0.000325,1.9167e-06,0.0001,300.92,0
0.00033125,0,0.0001,295.2,0
0.00033125,1.9167e-06,0.0001,301.35,0
0.0003375,0,0.0001,295.32,0
0.0003375,1.9167e-06,0.0001,301.79,0
0.00034375,0,0.0001,295.43,0
0.00034375,1.9167e-06,0.0001,302.26,0
0.00035,0,0.0001,295.56,0
0.00035,1.9167e-06,0.0001,302.75,0
0.00035625,0,0.0001,295.68,0
0.00035625,1.9167e-06,0.0001,303.26,0
0.0003625,0,0.0001,295.82,0
0.0003625,1.9167e-06,0.0001,303.8,0
0.00036875,0,0.0001,295.96,0
0.00036875,1.9167e-06,0.0001,304.36,0
0.000375,0,0.0001,296.11,0
0.000375,1.9167e-06,0.0001,304.96,0
0.00038125,0,0.0001,296.27,0
0.00038125,1.9167e-06,0.0001,305.58,0
0.0003875,0,0.0001,296.43,0
0.0003875,1.9167e-06,0.0001,306.23,0
0.00039375,0,0.0001,296.6,0
0.00039375,1.9167e-06,0.0001,306.92,0
0.0004,0,0.0001,296.78,0
0.0004,1.9167e-06,0.0001,307.63,0
0.00040625,0,0.0001,296.97,0
0.00040625,1.9167e-06,0.0001,308.39,0
0.0004125,0,0.0001,297.17,0
0.0004125,1.9167e-06,0.0001,309.18,0
0.00041875,0,0.0001,297.39,0
0.00041875,1.9167e-06,0.0001,310.02,0
0.000425,0,0.0001,297.61,0
0.000425,1.9167e-06,0.0001,310.89,0
0.00043125,0,0.0001,297.84,0
0.00043125,1.9167e-06,0.0001,311.81,0
0.0004375,0,0.0001,298.08,0
0.0004375,1.9167e-06,0.0001,312.78,0
0.00044375,0,0.0001,298.34,0
0.00044375,1.9167e-06,0.0001,313.8,0
0.00045,0,0.0001,298.61,0
0.00045,1.9167e-06,0.0001,314.87,0
0.00045625,0,0.0001,298.89,0
0.00045625,1.9167e-06,0.0001,315.99,0
0.0004625,0,0.0001,299.19,0
0.0004625,1.9167e-06,0.0001,317.17,0
0.00046875,0,0.0001,299.51,0
0.00046875,1.9167e-06,0.0001,318.41,0
0.000475,0,0.0001,299.84,0
0.000475,1.9167e-06,0.0001,319.71,0
