"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00032,0,0.0001,298.57,0,0,0,0,0,1,0,0,0,0,4680
0.00032,3.8333e-06,0.0001,314.65,0,0,0,0,0,1,0,0,0,0,4680
0.00033,0,0.0001,299.07,0,0,0,0,0,1,0,0,0,0,4680
0.00033,3.8333e-06,0.0001,316.61,0,0,0,0,0,1,0,0,0,0,4680
0.00034,0,0.0001,299.61,0,0,0,0,0,1,0,0,0,0,4680
0.00034,3.8333e-06,0.0001,318.73,0,0,0,0,0,1,0,0,0,0,4680
0.00035,0,0.0001,300.19,0,0,0,0,0,1,0,0,0,0,4680
0.00035,3.8333e-06,0.0001,321.01,0,0,0,0,0,1,0,0,0,0,4680
0.00036,0,0.0001,300.82,0,0,0,0,0,1,0,0,0,0,4680
0.00036,3.8333e-06,0.0001,323.47,0,0,0,0,0,1,0,0,0,0,4680
0.00037,0,0.0001,301.5,0,0,0,0,0,1,0,0,0,0,4680
0.00037,3.8333e-06,0.0001,326.13,0,0,0,0,0,1,0,0,0,0,4680
0.00038,0,0.0001,302.23,0,0,0,0,0,1,0,0,0,0,4680
0.00038,3.8333e-06,0.0001,329,0,0,0,0,0,1,0,0,0,0,4680
0.00039,0,0.0001,303.03,0,0,0,0,0,1,0,0,0,0,4680
0.00039,3.8333e-06,0.0001,332.09,0,0,0,0,0,1,0,0,0,0,4680
0.0004,0,0.0001,303.88,0,0,0,0,0,1,0,0,0,0,4680
0.0004,3.8333e-06,0.0001,335.43,0,0,0,0,0,1,0,0,0,0,4680
0.00041,0,0.0001,304.81,0,0,0,0,0,1,0,0,0,0,4680
0.00041,3.8333e-06,0.0001,339.02,0,0,0,0,0,1,0,0,0,0,4680
0.00042,0,0.0001,305.81,0,0,0,0,0,1,0,0,0,0,4680
0.00042,3.8333e-06,0.0001,342.9,0,0,0,0,0,1,0,0,0,0,4680
0.00043,0,0.0001,306.89,0,0,0,0,0,1,0,0,0,0,4680
0.00043,3.8333e-06,0.0001,347.06,0,0,0,0,0,1,0,0,0,0,4680
0.00044,0,0.0001,308.05,0,0,0,0,0,1,0,0,0,0,4680
0.00044,3.8333e-06,0.0001,351.54,0,0,0,0,0,1,0,0,0,0,4680
0.00045,0,0.0001,309.3,0,0,0,0,0,1,0,0,0,0,4680
0.00045,3.8333e-06,0.0001,356.33,0,0,0,0,0,1,0,0,0,0,4680
0.00046,0,0.0001,310.65,0,0,0,0,0,1,0,0,0,0,4680
0.00046,3.8333e-06,0.0001,361.46,0,0,0,0,0,1,0,0,0,0,4680
0.00047,0,0.0001,312.08,0,0,0,0,0,1,0,0,0,0,4680
0.00047,3.8333e-06,0.0001,366.94,0,0,0,0,0,1,0,0,0,0,4680
0.00048,0,0.0001,313.61,0,0,0,0,0,1,0,0,0,0,4680
0.00048,3.8333e-06,0.0001,372.76,0,0,0,0,0,1,0,0,0,0,4680
0.00049,0,0.0001,315.24,0,0,0,0,0,1,0,0,0,0,4680
0.00049,3.8333e-06,0.0001,378.93,0,0,0,0,0,1,0,0,0,0,4680
0.0005,0,0.0001,316.97,0,0,0,0,0,1,0,0,0,0,4680
0.0005,3.8333e-06,0.0001,385.45,0,0,0,0,0,1,0,0,0,0,4680
0.00051,0,0.0001,318.79,0,0,0,0,0,1,0,0,0,0,4680
0.00051,3.8333e-06,0.0001,392.31,0,0,0,0,0,1,0,0,0,0,4680
0.00052,0,0.0001,320.72,0,0,0,0,0,1,0,0,0,0,4680
0.00052,3.8333e-06,0.0001,399.51,0,0,0,0,0,1,0,0,0,0,4680
0.00053,0,0.0001,322.73,0,0,0,0,0,1,0,0,0,0,4680
0.00053,3.8333e-06,0.0001,407,0,0,0,0,0,1,0,0,0,0,4680
0.00054,0,0.0001,324.82,0,0,0,0,0,1,0,0,0,0,4680
0.00054,3.8333e-06,0.0001,414.75,0,0,0,0,0,1,0,0,0,0,4680
0.00055,0,0.0001,326.98,0,0,0,0,0,1,0,0,0,0,4680
0.00055,3.8333e-06,0.0001,422.7,0,0,0,0,0,1,0,0,0,0,4680
0.00056,0,0.0001,329.18,0,0,0,0,0,1,0,0,0,0,4680
0.00056,3.8333e-06,0.0001,430.72,0,0,0,0,0,1,0,0,0,0,4680
0.00057,0,0.0001,331.38,0,0,0,0,0,1,0,0,0,0,4680
0.00057,3.8333e-06,0.0001,438.64,0,0,0,0,0,1,0,0,0,0,4680
0.00058,0,0.0001,333.52,0,0,0,0,0,1,0,0,0,0,4680
0.00058,3.8333e-06,0.0001,446.2,0,0,0,0,0,1,0,0,0,0,4680
0.00059,0,0.0001,335.48,0,0,0,0,0,1,0,0,0,0,4680
0.00059,3.8333e-06,0.0001,452.96,0,0,0,0,0,1,0,0,0,0,4680
0.0006,0,0.0001,337.11,0,0,0,0,0,1,0,0,0,0,4680
0.0006,3.8333e-06,0.0001,458.32,0,0,0,0,0,1,0,0,0,0,4680
0.00061,0,0.0001,338.16,0,0,0,0,0,1,0,0,0,0,4680
