"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00032,0,0.0001,298.15,0,0,0,0,0,1,0,0,0,0,4680
0.00032,3.8333e-06,0.0001,313.01,0,0,0,0,0,1,0,0,0,0,4680
0.00033,0,0.0001,298.6,0,0,0,0,0,1,0,0,0,0,4680
0.00033,3.8333e-06,0.0001,314.78,0,0,0,0,0,1,0,0,0,0,4680
0.00034,0,0.0001,299.09,0,0,0,0,0,1,0,0,0,0,4680
0.00034,3.8333e-06,0.0001,316.69,0,0,0,0,0,1,0,0,0,0,4680
0.00035,0,0.0001,299.61,0,0,0,0,0,1,0,0,0,0,4680
0.00035,3.8333e-06,0.0001,318.75,0,0,0,0,0,1,0,0,0,0,4680
0.00036,0,0.0001,300.18,0,0,0,0,0,1,0,0,0,0,4680
0.00036,3.8333e-06,0.0001,320.97,0,0,0,0,0,1,0,0,0,0,4680
0.00037,0,0.0001,300.8,0,0,0,0,0,1,0,0,0,0,4680
0.00037,3.8333e-06,0.0001,323.38,0,0,0,0,0,1,0,0,0,0,4680
0.00038,0,0.0001,301.46,0,0,0,0,0,1,0,0,0,0,4680
0.00038,3.8333e-06,0.0001,325.99,0,0,0,0,0,1,0,0,0,0,4680
0.00039,0,0.0001,302.19,0,0,0,0,0,1,0,0,0,0,4680
0.00039,3.8333e-06,0.0001,328.81,0,0,0,0,0,1,0,0,0,0,4680
0.0004,0,0.0001,302.97,0,0,0,0,0,1,0,0,0,0,4680
0.0004,3.8333e-06,0.0001,331.87,0,0,0,0,0,1,0,0,0,0,4680
0.00041,0,0.0001,303.83,0,0,0,0,0,1,0,0,0,0,4680
0.00041,3.8333e-06,0.0001,335.19,0,0,0,0,0,1,0,0,0,0,4680
0.00042,0,0.0001,304.76,0,0,0,0,0,1,0,0,0,0,4680
0.00042,3.8333e-06,0.0001,338.8,0,0,0,0,0,1,0,0,0,0,4680
0.00043,0,0.0001,305.77,0,0,0,0,0,1,0,0,0,0,4680
0.00043,3.8333e-06,0.0001,342.71,0,0,0,0,0,1,0,0,0,0,4680
0.00044,0,0.0001,306.87,0,0,0,0,0,1,0,0,0,0,4680
0.00044,3.8333e-06,0.0001,346.96,0,0,0,0,0,1,0,0,0,0,4680
0.00045,0,0.0001,308.07,0,0,0,0,0,1,0,0,0,0,4680
0.00045,3.8333e-06,0.0001,351.58,0,0,0,0,0,1,0,0,0,0,4680
0.00046,0,0.0001,309.38,0,0,0,0,0,1,0,0,0,0,4680
0.00046,3.8333e-06,0.0001,356.6,0,0,0,0,0,1,0,0,0,0,4680
0.00047,0,0.0001,310.81,0,0,0,0,0,1,0,0,0,0,4680
0.00047,3.8333e-06,0.0001,362.04,0,0,0,0,0,1,0,0,0,0,4680
0.00048,0,0.0001,312.36,0,0,0,0,0,1,0,0,0,0,4680
0.00048,3.8333e-06,0.0001,367.94,0,0,0,0,0,1,0,0,0,0,4680
0.00049,0,0.0001,314.04,0,0,0,0,0,1,0,0,0,0,4680
0.00049,3.8333e-06,0.0001,374.33,0,0,0,0,0,1,0,0,0,0,4680
0.0005,0,0.0001,315.86,0,0,0,0,0,1,0,0,0,0,4680
0.0005,3.8333e-06,0.0001,381.23,0,0,0,0,0,1,0,0,0,0,4680
0.00051,0,0.0001,317.84,0,0,0,0,0,1,0,0,0,0,4680
0.00051,3.8333e-06,0.0001,388.65,0,0,0,0,0,1,0,0,0,0,4680
0.00052,0,0.0001,319.96,0,0,0,0,0,1,0,0,0,0,4680
0.00052,3.8333e-06,0.0001,396.59,0,0,0,0,0,1,0,0,0,0,4680
0.00053,0,0.0001,322.23,0,0,0,0,0,1,0,0,0,0,4680
0.00053,3.8333e-06,0.0001,405.05,0,0,0,0,0,1,0,0,0,0,4680
0.00054,0,0.0001,324.64,0,0,0,0,0,1,0,0,0,0,4680
0.00054,3.8333e-06,0.0001,413.98,0,0,0,0,0,1,0,0,0,0,4680
