"Points:0","Points:1","Points:2","T","p"
1.25e-05,0,0.0001,293.19,0
0,0,0.0001,293.16,0
1.25e-05,3.8333e-06,0.0001,293.31,0
0,3.8333e-06,0.0001,293.19,0
2.5e-05,0,0.0001,293.23,0
2.5e-05,3.8333e-06,0.0001,293.48,0
3.75e-05,0,0.0001,293.28,0
3.75e-05,3.8333e-06,0.0001,293.66,0
5e-05,0,0.0001,293.33,0
5e-05,3.8333e-06,0.0001,293.85,0
6.25e-05,0,0.0001,293.38,0
6.25e-05,3.8333e-06,0.0001,294.07,0
7.5e-05,0,0.0001,293.44,0
7.5e-05,3.8333e-06,0.0001,294.31,0
8.75e-05,0,0.0001,293.51,0
8.75e-05,3.8333e-06,0.0001,294.58,0
0.0001,0,0.0001,293.58,0
0.0001,3.8333e-06,0.0001,294.88,0
0.0001125,0,0.0001,293.67,0
0.0001125,3.8333e-06,0.0001,295.23,0
0.000125,0,0.0001,293.77,0
0.000125,3.8333e-06,0.0001,295.62,0
0.0001375,0,0.0001,293.88,0
0.0001375,3.8333e-06,0.0001,296.06,0
0.00015,0,0.0001,294,0
0.00015,3.8333e-06,0.0001,296.55,0
0.0001625,0,0.0001,294.14,0
0.0001625,3.8333e-06,0.0001,297.11,0
0.000175,0,0.0001,294.3,0
0.000175,3.8333e-06,0.0001,297.73,0
0.0001875,0,0.0001,294.47,0
0.0001875,3.8333e-06,0.0001,298.42,0
0.0002,0,0.0001,294.66,0
0.0002,3.8333e-06,0.0001,299.19,0
0.0002125,0,0.0001,294.88,0
0.0002125,3.8333e-06,0.0001,300.04,0
0.000225,0,0.0001,295.11,0
0.000225,3.8333e-06,0.0001,300.98,0
0.0002375,0,0.0001,295.37,0
0.0002375,3.8333e-06,0.0001,302.01,0
0.00025,0,0.0001,295.66,0
0.00025,3.8333e-06,0.0001,303.15,0
0.0002625,0,0.0001,295.97,0
0.0002625,3.8333e-06,0.0001,304.41,0
0.000275,0,0.0001,296.32,0
0.000275,3.8333e-06,0.0001,305.78,0
0.0002875,0,0.0001,296.7,0
0.0002875,3.8333e-06,0.0001,307.29,0
0.0003,0,0.0001,297.12,0
0.0003,3.8333e-06,0.0001,308.95,0
0.0003125,0,0.0001,297.58,0
0.0003125,3.8333e-06,0.0001,310.77,0
0.000325,0,0.0001,298.08,0
0.000325,3.8333e-06,0.0001,312.77,0
0.0003375,0,0.0001,298.64,0
0.0003375,3.8333e-06,0.0001,314.97,0
0.00035,0,0.0001,299.25,0
0.00035,3.8333e-06,0.0001,317.39,0
0.0003625,0,0.0001,299.93,0
0.0003625,3.8333e-06,0.0001,320.06,0
0.000375,0,0.0001,300.68,0
0.000375,3.8333e-06,0.0001,323,0
0.0003875,0,0.0001,301.5,0
0.0003875,3.8333e-06,0.0001,326.25,0
0.0004,0,0.0001,302.42,0
0.0004,3.8333e-06,0.0001,329.84,0
0.0004125,0,0.0001,303.43,0
0.0004125,3.8333e-06,0.0001,333.81,0
0.000425,0,0.0001,304.55,0
0.000425,3.8333e-06,0.0001,338.21,0
0.0004375,0,0.0001,305.8,0
0.0004375,3.8333e-06,0.0001,343.08,0
0.00045,0,0.0001,307.19,0
0.00045,3.8333e-06,0.0001,348.48,0
0.0004625,0,0.0001,308.73,0
0.0004625,3.8333e-06,0.0001,354.47,0
0.000475,0,0.0001,310.44,0
0.000475,3.8333e-06,0.0001,361.09,0
0.0004875,0,0.0001,312.34,0
0.0004875,3.8333e-06,0.0001,368.4,0
0.0005,0,0.0001,314.43,0
0.0005,3.8333e-06,0.0001,376.45,0
0.0005125,0,0.0001,316.74,0
0.0005125,3.8333e-06,0.0001,385.27,0
0.000525,0,0.0001,319.25,0
0.000525,3.8333e-06,0.0001,394.87,0
0.0005375,0,0.0001,321.97,0
0.0005375,3.8333e-06,0.0001,405.2,0
0.00055,0,0.0001,324.87,0
0.00055,3.8333e-06,0.0001,416.15,0
0.0005625,0,0.0001,327.9,0
0.0005625,3.8333e-06,0.0001,427.5,0
0.000575,0,0.0001,330.95,0
0.000575,3.8333e-06,0.0001,438.8,0
0.0005875,0,0.0001,333.83,0
0.0005875,3.8333e-06,0.0001,449.29,0
0.0006,0,0.0001,336.21,0
0.0006,3.8333e-06,0.0001,457.75,0
0.0006125,0,0.0001,337.63,0
0.0006125,3.8333e-06,0.0001,462.54,0
0.000625,0,0.0001,337.58,0
0.000625,3.8333e-06,0.0001,461.82,0
0.0006375,0,0.0001,335.62,0
0.0006375,3.8333e-06,0.0001,454.13,0
0.00065,0,0.0001,331.61,0
0.00065,3.8333e-06,0.0001,439.04,0
0.0006625,0,0.0001,325.89,0
0.0006625,3.8333e-06,0.0001,417.67,0
0.000675,0,0.0001,319.19,0
